etid,country,fine,controller_processor,article,violation_type,sector,summary,decision_date_imputed,decision_year,fine_cat,fine_cat2,mapping_key,country_label,violation_type_label,sector_label
ETid-970,SPAIN,6000.0,Real Club Náutico De Ribadeo,Art. 6 (1) GDPR,Insufficient legal basis for data processing,Individuals and Private Associations,"The Spanish DPA (AEPD) has imposed a fine of EUR 6,000 on REAL CLUB NÁUTICO DE RIBADEO. The controller had uploaded links to court decisions containing personal data of the data subject on its website and Facebook page.",No,2021,6000.0,4.0,SPAIN-2021,27,6,4
ETid-969,SPAIN,2000.0,"Ventanas Make Yourself, S.L.",Art. 13 GDPR,Insufficient fulfilment of information obligations,Industry and Commerce,The corporate website did not present a privacy policy on its main page.,No,2021,2000.0,1.0,SPAIN-2021,27,4,5
ETid-968,SPAIN,60000.0,Banco Bilbao Vizcaya Argentaria S.A.,Art. 6 GDPR,Insufficient legal basis for data processing,"Finance, Insurance and Consulting","The Spanish DPA (AEPD) has imposed a fine on Banco Bilbao Vizcaya Argentaria S.A.. A data subject filed a complaint with the DPA due to the fact that the controller repeatedly sent him SMS messages about non-payments, although he had no contractual relationship with the controller.  The controller stated that the unsolicited SMS messages were sent due to human error on part of its employees. The original fine of EUR 100,000 was reduced to EUR 60,000 due to voluntary payment and admission of guilt.",No,2021,60000.0,7.0,SPAIN-2021,27,6,2
ETid-967,SPAIN,5000.0,Hubside Ibérica S.L.,Art. 6 (1) GDPR,Insufficient legal basis for data processing,Industry and Commerce,"The Spanish DPA (AEPD) has imposed a fine of EUR 5,000 HUBSIDE IBÉRICA S.L.. A data subject had filed a complaint with the DPA against the controller for charging her several services that she had not ordered.",No,2021,5000.0,3.0,SPAIN-2021,27,6,5
ETid-966,SPAIN,5000.0,Sfam España General S.L.,Art. 6 (1) GDPR,Insufficient legal basis for data processing,"Finance, Insurance and Consulting","The Spanish DPA (AEPD) has imposed a fine of EUR 5,000 on Sfam España General s.l.. A data subject had filed a complaint with the DPA against the controller for charging her several services that she had not ordered.",No,2021,5000.0,3.0,SPAIN-2021,27,6,2
ETid-965,SPAIN,6000.0,Private Individual,Art. 6 (1) GDPR,Insufficient legal basis for data processing,Individuals and Private Associations,"The Spanish DPA has imposed a fine of EUR 6,000 on a private individual. The person had shared a video on Twitter showing images of a sexual assault by a man on a woman. The purpose of sharing the video was to draw attention to domestic violence against women. The DPA considers the sharing to be unlawful. Even though the person may have had a legitimate interest in sharing the video, the victim's right to privacy prevails.",No,2021,6000.0,4.0,SPAIN-2021,27,6,4
ETid-964,SPAIN,1500.0,La Oficina Bar,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,Accomodation and Hospitalty,The Spanish DPA (AEPD) fined LA OFICINA BAR. The bar operated a video surveillance system in which the observation angle of the cameras extended into the public traffic area. The DPA considered this to be a violation of the principle of data minimization.,No,2021,1500.0,1.0,SPAIN-2021,27,8,0
ETid-963,SPAIN,4000.0,Club Deportivo Ritmo De Andalucía,"Art. 7 GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations,Individuals and Private Associations,"The Spanish DPA has imposed a fine of EUR 2,000 on CLUB DEPORTIVO RITMO DE ANDALUCÍA. The DPA criticized that the data protection notice of the controller did not comply with the requirements of the GDPR. Thus, the information required under Art. 13 GDPR was not sufficiently provided. In addition, the data protection notice did not provide an adequate opportunity to give consent to data processing.",No,2021,4000.0,3.0,SPAIN-2021,27,4,4
ETid-962,SPAIN,2000.0,Fundacion Espanola De Medicina Estetica Y Longevidad,"Art. 7 GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations,Individuals and Private Associations,"The Spanish DPA has imposed a fine of EUR 2,000 on FUNDACION ESPANOLA DE MEDICINA ESTETICA Y LONGEVIDAD. The DPA criticized that the data protection notice of the controller did not comply with the requirements of the GDPR. Thus, the information required under Art. 13 GDPR was not sufficiently provided. In addition, the data protection notice did not provide an adequate opportunity to give consent to data processing.",No,2021,2000.0,1.0,SPAIN-2021,27,4,4
ETid-961,AUSTRIA,600.0,Private Individual,Art. 9 GDPR,Insufficient legal basis for data processing,Individuals and Private Associations,The Austrian DPA has imposed a fine of EUR 600 on a private individual. A private individual had sent a document obtained in a court case between the data subject and himself to the data subject's employer. This document contained information regarding health-related data of the data subject. At no time had the data subject consented to the forwarding of the document to her employer.,No,2021,600.0,0.0,AUSTRIA-2021,0,6,4
ETid-960,NORWAY,3900.0,T. Stene Transport As,Art. 00 GDPR,Unknown,Transportation and Energy,"The Norwegian DPA has fined T. Stene Transport AS EUR 3,900 due to an unfair credit check on a data subject.",No,2021,3900.0,3.0,NORWAY-2021,22,9,9
ETid-959,SPAIN,2000.0,Online Retailer,Art. 6 GDPR,Insufficient legal basis for data processing,Industry and Commerce,"The Spanish DPA has imposed a fine of EUR 2,000 on an online retailer. The data subject bought a product from the controller's online store via eBay and paid with Paypal. However, he received the order via Amazon. Since the data subject had not consented to the transfer of his data to Amazon, the DPA concluded that the controller had processed the data unlawfully.",No,2021,2000.0,1.0,SPAIN-2021,27,6,5
ETid-958,SPAIN,2000.0,Private Individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,Individuals and Private Associations,"The Spanish DPA (AEPD) fined a private individual EUR 2,000. The data controller had installed video cameras in such a way that they could record images of the public space and the entrance to a residential building. The AEPD considered this a violation of the principle of data minimization.",No,2021,2000.0,1.0,SPAIN-2021,27,8,4
ETid-957,GREECE,30000.0,One Way Private Company,"Art. 28 (3) c) GDPR, Art. 32 (2), (4) GDPR, Art. 11 (1) Νόμος 3471/2006",Insufficient technical and organisational measures to ensure information security,"Media, Telecoms and Broadcasting","The Hellenic DPA has imposed a fine of EUR 30,000 on One Way Private Company. The DPA received 17 complaints regarding illegal telephone calls for the purpose of advertising. The DPA found that due to an error in the controller's application, telephone calls were made to subscribers included in the list for protection against unsolicited telephone advertising 'Register 11'. The DPA concluded that the controller had failed to implement technical and organizational measures to ensure a level of security appropriate to the risk to the data subjects.",No,2021,30000.0,6.0,GREECE-2021,11,7,6
ETid-956,SPAIN,50000.0,"Iza Obras Y Promociones, S.A.",Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,Employment,"The Spanish DPA has fined IZA OBRAS Y PROMOCIONES, S.A. EUR 50,000. An employee had filed a complaint with the DPA against the company, alleging that the controller had unauthorizedly disclosed his personal data to another company from which it had received a construction order. The data subject was working as a construction manager on the project, but was absent from work for a period of time due to illness. The controller therefore informed its client and additionally disclosed the data subject's email address and certain health information. The DPA determined that the disclosure of this data would not have been necessary and that the controller had therefore violated the principle of data minimization.",No,2021,50000.0,7.0,SPAIN-2021,27,8,1
ETid-955,HUNGARY,13500.0,Car Importer,"Art. 5 (1), (2) GDPR, Art. 6 (1) GDPR, Art. 12 (1) GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,Industry and Commerce,"The Hungarian DPA imposed a fine of EUR 13,500 on a car importer. A customer of one of the company's authorized repair shops filed a complaint with the DPA due to receiving unsolicited emails related to customer surveys from the company after a car inspection. The Hungarian DPA found that the controller did not have a valid legal basis to contact the data subject. It also found that the controller had not complied with its duty to inform under Art. 12 GDPR and Art. 13 GDPR. The emails did not contain any contact information of the controller, for example.",No,2021,13500.0,5.0,HUNGARY-2021,12,6,5
ETid-954,DENMARK,13450.0,Municipality Of Frederiksberg,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,Public Sector and Education,"The Danish DPA has fined the municipality of Frederiksberg EUR 13,450. On March 1, 2021, the municipality reported a data breach under Art. 33 GDPR. 

The municipality's dental care service had operated a system through which parents could access their children's dental care letters online. The municipality then extended this access to parents with joint custody. As a result, in several cases, parents gained access to information about the other parent and the child's address, even though the affected parent and child were registered with name and address protection.
The DPA considered this to be a breach of the municipality's duty to implement adequate technical and organizational measures to ensure a level of security appropriate to the risk to the data subjects.",No,2021,13400.0,5.0,DENMARK-2021,6,7,7
ETid-953,SPAIN,1200.0,Private Individual,Art. 13 GDPR,Insufficient fulfilment of information obligations,Individuals and Private Associations,"The Spanish DPA (AEPD) has fined a private individual EUR 1,200 for failing to provide sufficient information about a video surveillance system installed at their property.",No,2021,1200.0,0.0,SPAIN-2021,27,4,4
ETid-952,FINLAND,608000.0,Psykoterapiakeskus Vastaamo,"Art. 5 (1) f) GDPR, Art. 33 (1) GDPR, Art. 34 (1) GDPR",Non-compliance with general data processing principles,Health Care,"The Finnish DPA has fined Vastaamo psychotherapy center EUR 608,000. In September 2020, the psychotherapy center reported an attack on its patient database to the DPA. An unauthorized third party had gained access to Vastaamo's medical database on at least two occasions, in December 2018 and March 2019. The attacker had also siphoned off data and left a ransom note on the servers. Due to insufficient logging, neither the exact date of the breach nor the network addresses used by the attacker could be identified.

The most likely cause of the medical database leak was an unprotected port on the database where the root user account of the database was not password protected. The patient database server was open to the Internet without firewall protection during the period between November 26, 2017, and March 13, 2019.

For this reason, the DPA determined that the personal data were not adequately protected against unauthorized and unlawful processing or accidental loss, destruction, or damage, and that the controller had not implemented basic measures for the secure processing of personal data.

As part of its investigation, the DPA also determined that the controller must have known as early as March 2019 that data in the patient information system had been lost and could have been compromised by an external attacker. Vastaamo should have immediately reported the security breach to both the DPA and its patients. However, Vastaamo was significantly late in meeting this obligation. 

The fine is composed proportionately of EUR 145, 600 for the breach of Art. 33 (1) GDPR, EUR 145, 600 for the breach of Art. 34 (1) GDPR and EUR 316, 800 for the breach of Art. 5 (1) f) GDPR.",No,2021,608000.0,9.0,FINLAND-2021,8,8,3
ETid-951,AUSTRIA,3000.0,Unknown,Art. 31 GDPR,Insufficient cooperation with supervisory authority,Unknown,"The Austrian DPA has fined a company EUR 3,000 for failing to provide information requested by the DPA during an investigation.",No,2021,3000.0,2.0,AUSTRIA-2021,0,0,10
ETid-950,NORWAY,6300000.0,Grindr Llc,"Art. 6 (1) GDPR, Art. 9 (1) GDPR",Insufficient legal basis for data processing,"Media, Telecoms and Broadcasting","The Norwegian DPA has fined Grindr LLC EUR 6.3 million. Grindr is a location-based social networking app designed for gay, bi, trans and queer people.  In 2020, the Norwegian Consumer Protection Authority filed a complaint against Grindr with the Norwegian DPA, alleging that the portal had shared information about users' GPS location, IP address, cell phone advertising ID, age and gender with several third parties for marketing purposes. 

Under GDPR, consent is required for the sharing of this personal data. However, during its investigation, the DPA found that the consent collected by Grindr was not valid. 

Users had to accept the privacy policy in order to use the app, but were not explicitly asked whether they would consent to their data being shared with third parties for marketing purposes. In addition, the information about the disclosure of personal data was not clear or accessible enough for users. 


The DPA points out that this type of data may identify a Grindr user as a member of a sexual minority. Grindr users would sometimes want to use the app anonymously without, for example, giving their full name or uploading a photo of themselves. With the sexual orientation of the users, a special category of personal data, which is subject to a particularly high level of protection, was therefore also affected. 

The DPA therefore considers the infringement to be a particularly serious case that justifies a deterrent high fine. Business models based on behavior-based marketing are widespread in the digital economy, making it important that the fines for GDPR violations are deterrent.",No,2021,6300000.0,9.0,NORWAY-2021,22,6,6
ETid-949,ROMANIA,2000.0,Sc Nobiotic Pharma Srl,Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,Industry and Commerce,Failure to provide requested information to the Romanian DPA within the required timeframe in violation of Art. 58 GDPR.,No,2021,2000.0,1.0,ROMANIA-2021,25,0,5
ETid-948,NORWAY,98000.0,Norwegian State Pension Fund (Spk),"Art. 5 (1) c), e) GDPR, Art. 6 (1) GDPR, Art. 9 (2) GDPR",Insufficient legal basis for data processing,Public Sector and Education,"The Norwegian DPA has imposed a fine of EUR 98,000 on the Norwegian State Pension Fund (SPK). The controller had notified the DPA of a data breach pursuant to Art. 33 GDPR. The DPA found that the controller had unlawfully collected certain income information since 2016. For example, the controller had collected health-related information on disability pensions, although this was not required.  Approximately 24,000 individuals were affected by these incidents. In addition, the DPA found that SPK did not implement routines to review and delete excessive information collected until 2019.",No,2021,98000.0,8.0,NORWAY-2021,22,6,7
ETid-947,BELGIUM,10000.0,Unknown,"Art. 12 (3) GDPR, Art. 14 (1), (2), (3) GDPR, Art. 15 GDPR, Art. 17 (1) c) GDPR, Art. 21 (2) GDPR",Insufficient fulfilment of data subjects rights,Unknown,"The Belgian DPA has imposed a fine of EUR 10,000 against a company. The data subject had repeatedly received mail with advertising content from a company, although he had objected to the processing of his personal data and requested the deletion of his data. However, the company did not respond to inquiries from the data protection authority in this regard. In addition, the company had not sufficiently informed the data subject about the processing of his personal data.",No,2021,10000.0,4.0,BELGIUM-2021,1,3,10
ETid-946,THE NETHERLANDS,2750000.0,Dutch Minister Of Finance,"Art. 5 (1) a) GDPR, Art. 6 (1) e) GDPR, Art. 8 Wbp",Insufficient legal basis for data processing,Public Sector and Education,"The Dutch DPA (AP) has fined the Minister of Finance EUR 2,75 million. 

In the context of childcare benefit applications, tax offices had processed data on the dual nationality of applicants for several years.

However, the DPA found that the data on dual nationality of Dutch citizens would not have been necessary when assessing an application for childcare benefits.

The said data had also been processed for the purpose of combating organized fraud and for automatic classification in the authority's risk system. However, even for these purposes, the processing would not have been necessary. 

For this reason, the tax and customs administration should have deleted the data on dual nationality as early as January 2014. Nevertheless, as of May 2018, the dual citizenship data of a total of 1,4 million people were still registered in the systems of the tax and customs administration.

The DPA therefore found that the data had been unlawfully processed due to the lack of a valid legal basis. Furthermore the DPA stated that the data subjects had been discriminated against on the basis of their nationality.",No,2021,2750000.0,9.0,THENETHERLANDS-2021,29,6,7
ETid-945,SPAIN,24000.0,"Nbq Technology, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,"Finance, Insurance and Consulting","The Spanish DPA (AEPD) has fined NBQ Technology, S.A.U..
A data subject filed a complaint with the DPA against the company after they had denied him a financial transaction due to alleged outstanding payments on a loan. As it turned out, an identity thief had obtained the data subject's data without authorization and applied for a loan from the data controller under pretense of the data subject's identity. The controller then approved the loan. Since the data processed in the course of granting the loan did not belong to the borrower but to the data subject, the AEPD found that the controller had no legal basis for processing the data. The processing was therefore unlawful and a breach of Art. 6 (1) GDPR was affirmed. The original fine of EUR 40,000 was reduced to EUR 24,000 due to the immediate payment and the admission of guilt.",No,2021,24000.0,6.0,SPAIN-2021,27,6,2
ETid-944,SPAIN,1000.0,Store Owner,Art. 13 GDPR,Insufficient fulfilment of information obligations,Accomodation and Hospitalty,"The Spanish DPA (AEPD) has fined a store owner EUR 1,000 for failing to provide information signs about CCTV surveillance in the establishment.",No,2021,1000.0,0.0,SPAIN-2021,27,4,0
ETid-943,GERMANY,,Unknown,Art. 6 GDPR,Insufficient legal basis for data processing,Individuals and Private Associations,"Nine fines between EUR 350 and EUR 1,000 for unlawful use of a dashcam.",No,2019,,,GERMANY-2019,10,6,4
ETid-942,GERMANY,,Unknown,Art. 6 GDPR,Insufficient legal basis for data processing,Individuals and Private Associations,Eight fines between EUR 50 and EUR 800 for unlawful use of a dashcam.,No,2019,,,GERMANY-2019,10,6,4
ETid-941,GERMANY,500.0,Unknown,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,Unknown,A data controller failed to comply with data subject´s request to access their personal data.,No,2019,500.0,0.0,GERMANY-2019,10,3,10
ETid-940,GERMANY,600.0,Unknown,Art. 6 GDPR,Insufficient legal basis for data processing,Individuals and Private Associations,Unlawful use of a dashcam,Yes,2019,600.0,0.0,GERMANY-2019,10,6,4
ETid-939,GERMANY,300.0,Unknown,Art. 6 GDPR,Insufficient legal basis for data processing,Individuals and Private Associations,Unlawful use of a dashcam,Yes,2019,300.0,0.0,GERMANY-2019,10,6,4
ETid-938,GERMANY,50.0,Unknown,Art. 6 GDPR,Insufficient legal basis for data processing,Individuals and Private Associations,Unlawful use of a dashcam,Yes,2019,0.0,0.0,GERMANY-2019,10,6,4
ETid-937,SPAIN,2000.0,"Coopera Rc Services, S.L.",Art. 13 GDPR,Insufficient fulfilment of information obligations,"Media, Telecoms and Broadcasting","The Spanish DPA (AEPD) has imposed a fine of EUR 2,000 on COOPERA RC SERVICES. The controller had not provided sufficient contact details through which data subjects could exercise their rights.",No,2021,2000.0,1.0,SPAIN-2021,27,4,6
ETid-936,SPAIN,40000.0,"Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,"Media, Telecoms and Broadcasting","The Spanish DPA (AEPD) has imposed a fine on Vodafone España, S.A.U.. A data subject had filed a complaint with the DPA as the controller had transferred her cell phone line to another person without her consent due to a technical error. In addition, the data subject's account was debited with amounts that belonged to a third party's phone line. The DPA found that Vodafone had unlawfully processed the data subject's data. The original fine of EUR 50,000 was reduced to EUR 40,000 due to voluntary payment.",No,2021,40000.0,6.0,SPAIN-2021,27,6,6
ETid-935,SPAIN,40000.0,"Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,"Media, Telecoms and Broadcasting","The Spanish DPA (AEPD) imposed a fine on Vodafone España, S.A.U. due to insufficient legal basis for data processing.  A data subject had filed a complaint against the data controller due to the fact that telephone lines were registered in his name, although he had never concluded contracts with the company for any of these lines. Vodafone had accidentally assigned the data of the data subject to the contracts of another Vodafone customer, which is why the contracts went under his name. Against this background, the DPA considered the processing of the data subject's data by Vodafone to be unlawful. The original fine of EUR 50,000 was reduced to EUR 40,000 due to voluntary payment.",No,2021,40000.0,6.0,SPAIN-2021,27,6,6
ETid-934,SPAIN,2000.0,"Imagina Fran Sport, S.L.",Art. 13 GDPR,Insufficient fulfilment of information obligations,Industry and Commerce,"The Spanish DPA (AEPD) fined IMAGINA FRAN SPORT, S.L. EUR 2,000 due to the fact that its privacy policy did not comply with the requirements of Art. 13 GDPR. For instance, the website contained outdated information.",No,2021,2000.0,1.0,SPAIN-2021,27,4,5
ETid-933,SPAIN,5000.0,"Introduction Business Capital Media, S.L.","Art. 48 (1) b) LGT, Art. 21 GDPR, Art. 23 LOPDGDD",Insufficient fulfilment of data subjects rights,Industry and Commerce,"The Spanish DPA (AEPD) imposed a fine of EUR 5,000 on INTRODUCTION BUSINESS CAPITAL MEDIA, S.L.. The data subject had received advertising calls from the controller, although the data subject was registered in the Robinson advertising exclusion list.",No,2021,5000.0,3.0,SPAIN-2021,27,3,5
ETid-932,ITALY,8000.0,Health Protection Agency Of Sardinia (Ats),"Art. 5 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,Health Care,"The Italian DPA (Garante) has imposed a fine of EUR 8,000 on the Health Protection Agency of Sardinia (ATS). A patient had mistakenly received medical records and clinical documentation from another patient in his own file.",No,2021,8000.0,4.0,ITALY-2021,16,6,3
ETid-931,ITALY,2000.0,Physician,"Art. 5 (1) a) GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,Health Care,"The Italian DPA (Garante) has fined a physician EUR 2,000. A patient had complained to the DPA that the doctor had disclosed his personal data to third parties without authorization. The doctor had recommended medical products to the data subject as part of his treatment. A few days later, the data subject received a call from the marketing consultant behind the recommended products. The data subject pointed out that he had never given his consent to the disclosure of his data. 

The Garante states that no specific consent is required for the processing of personal data necessary for medical treatment. Here, however, the data was processed for the purpose of product promotion, and therefore explicit consent would have been required under Art. 9 GDPR. The physician thus processed the data unlawfully.",No,2021,2000.0,1.0,ITALY-2021,16,6,3
ETid-930,UNITED KINGDOM,585000.0,Cabinet Office,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,Public Sector and Education,"The UK DPA (ICO) has fined the Cabinet Office EUR 585,000. 

On December 27, 2019, the Cabinet Office published a file on GOV.UK containing the names and uncensored addresses of more than 1,000 individuals who had received New Year's honors. Individuals from a wide range of professions across the United Kingdom were affected, including individuals with a high public profile.

After learning of the data breach, the Cabinet Office removed the web link to the file. However, the file was still in the cache and was accessible online to people who had the exact website address.

The disclosed personal data was available online for two hours and 21 minutes and had been accessed 3,872 times.

The breach occurred due to an error in the setup of the Cabinet Office's new IT system. 

The ICO found that the Cabinet Office failed to take appropriate technical and organizational measures to ensure a level of protection appropriate with the risk to data subjects.",No,2021,585000.0,9.0,UNITEDKINGDOM-2021,30,7,7
ETid-929,ITALY,2000.0,Anfiteatro Flavio S.R.L.,Art. 13 GDPR,Insufficient fulfilment of information obligations,Industry and Commerce,"The Italian DPA (Garante) has imposed a fine of EUR 2,000 on Anfiteatro Flavio s.r.l.. During an administrative inspection of a hotel managed by Anfiteatro Flavio, the police found that a video surveillance system with three cameras was installed in the store. However, it found that the controller had not provided sufficient information on the presence of the CCTV. The DPA considered this to be a violation of Art. 13 GDPR.",No,2021,2000.0,1.0,ITALY-2021,16,4,5
ETid-928,ITALY,2000.0,Otto S.R.L.,Art. 13 GDPR,Insufficient fulfilment of information obligations,Industry and Commerce,"The Italian DPA (Garante) has imposed a fine of EUR 2,000 on OTTO s.r.l.. During an administrative inspection of a store managed by OTTO, the police found that a video surveillance system with three cameras was installed in the store. However, it found that the controller had not provided sufficient information on the presence of the CCTV. The DPA considered this to be a violation of Art. 13 GDPR.",No,2021,2000.0,1.0,ITALY-2021,16,4,5
